Dates,AAPL,AMZN
1999-02-26,0.311,3.203
1999-03-01,0.301,3.325
1999-03-02,0.309,3.033
1999-03-03,0.305,3.088
1999-03-04,0.299,3.003
1999-03-05,0.296,3.038
1999-03-08,0.307,3.055
1999-03-09,0.305,3.248
1999-03-10,0.291,3.428
1999-03-11,0.287,3.372
1999-03-12,0.296,3.333
1999-03-15,0.304,3.473
1999-03-16,0.317,3.345
1999-03-17,0.304,3.275
1999-03-18,0.317,3.461
1999-03-19,0.299,3.377
1999-03-22,0.313,3.3
1999-03-23,0.295,2.984
1999-03-24,0.301,3.092
1999-03-25,0.302,3.497
1999-03-26,0.297,3.477
1999-03-29,0.316,3.741
1999-03-30,0.32,4.117
1999-03-31,0.321,4.305
1999-04-01,0.322,4.275
1999-04-05,0.331,4.663
1999-04-06,0.339,4.572
1999-04-07,0.331,4.395
1999-04-08,0.329,4.475
1999-04-09,0.328,4.572
1999-04-12,0.324,4.611
1999-04-13,0.309,4.459
1999-04-14,0.317,4.2
1999-04-15,0.319,4.181
1999-04-16,0.316,4.75
1999-04-19,0.302,3.973
1999-04-20,0.304,4.3
1999-04-21,0.307,4.481
1999-04-22,0.325,4.752
1999-04-23,0.35,5.253
1999-04-26,0.366,5.18
1999-04-27,0.408,5.147
1999-04-28,0.393,4.838
1999-04-29,0.384,4.206
1999-04-30,0.411,4.302
1999-05-03,0.443,3.773
1999-05-04,0.415,3.575
1999-05-05,0.42,3.663
1999-05-06,0.397,3.434
1999-05-07,0.41,3.409
1999-05-10,0.404,3.672
1999-05-11,0.4,3.709
1999-05-12,0.415,3.573
1999-05-13,0.412,3.4
1999-05-14,0.396,3.309
1999-05-17,0.396,3.441
1999-05-18,0.404,3.316
1999-05-19,0.403,3.489
1999-05-20,0.379,3.27
1999-05-21,0.392,3.214
1999-05-24,0.374,2.938
1999-05-25,0.371,2.789
1999-05-26,0.393,3.023
1999-05-27,0.388,2.864
1999-05-28,0.393,2.969
1999-06-01,0.4,2.645
1999-06-02,0.416,2.803
1999-06-03,0.424,2.627
1999-06-04,0.43,2.711
1999-06-07,0.437,2.934
1999-06-08,0.426,2.789
1999-06-09,0.432,2.85
1999-06-10,0.43,2.898
1999-06-11,0.415,2.645
1999-06-14,0.406,2.3
1999-06-15,0.411,2.413
1999-06-16,0.428,2.792
1999-06-17,0.414,2.823
1999-06-18,0.421,2.783
1999-06-21,0.415,3.088
1999-06-22,0.405,2.938
1999-06-23,0.39,2.944
1999-06-24,0.378,2.841
1999-06-25,0.377,2.755
1999-06-28,0.38,2.767
1999-06-29,0.405,2.902
1999-06-30,0.414,3.128
1999-07-01,0.405,3.059
1999-07-02,0.414,3.102
1999-07-06,0.423,3.172
1999-07-07,0.445,3.047
1999-07-08,0.487,3.134
1999-07-09,0.497,3.138
1999-07-12,0.487,2.934
1999-07-13,0.479,3.153
1999-07-14,0.499,3.375
1999-07-15,0.475,3.489
1999-07-16,0.474,3.441
1999-07-19,0.486,3.292
1999-07-20,0.472,3.003
1999-07-21,0.483,3.136
1999-07-22,0.468,2.68
1999-07-23,0.476,2.864
1999-07-26,0.455,2.648
1999-07-27,0.479,2.525
1999-07-28,0.485,2.644
1999-07-29,0.481,2.539
1999-07-30,0.497,2.502
1999-08-02,0.498,2.35
1999-08-03,0.493,2.372
1999-08-04,0.48,2.211
1999-08-05,0.489,2.431
1999-08-06,0.483,2.239
1999-08-09,0.486,2.138
1999-08-10,0.494,2.275
1999-08-11,0.533,2.273
1999-08-12,0.536,2.294
1999-08-13,0.536,2.436
1999-08-16,0.54,2.458
1999-08-17,0.539,2.731
1999-08-18,0.537,2.828
1999-08-19,0.525,2.653
1999-08-20,0.528,2.836
1999-08-23,0.542,2.959
1999-08-24,0.539,3.002
1999-08-25,0.548,3.322
1999-08-26,0.555,3.214
1999-08-27,0.578,3.213
1999-08-30,0.554,2.981
1999-08-31,0.583,3.109
1999-09-01,0.613,2.977
1999-09-02,0.63,3.003
1999-09-03,0.656,3.122
1999-09-07,0.682,3.147
1999-09-08,0.665,3.072
1999-09-09,0.675,3.181
1999-09-10,0.691,3.325
1999-09-13,0.67,3.166
1999-09-14,0.695,3.3
1999-09-15,0.673,3.278
1999-09-16,0.686,3.263
1999-09-17,0.687,3.191
1999-09-20,0.706,3.138
1999-09-21,0.618,3.113
1999-09-22,0.628,3.3
1999-09-23,0.565,3.113
1999-09-24,0.58,3.25
1999-09-27,0.547,3.128
1999-09-28,0.532,3.294
1999-09-29,0.527,4.037
1999-09-30,0.565,3.997
1999-10-01,0.551,3.863
1999-10-04,0.576,3.853
1999-10-05,0.607,3.922
1999-10-06,0.6,4.122
1999-10-07,0.593,4.366
1999-10-08,0.585,4.463
1999-10-11,0.595,4.419
1999-10-12,0.604,4.247
1999-10-13,0.572,3.997
1999-10-14,0.653,3.98
1999-10-15,0.666,3.753
1999-10-18,0.654,3.703
1999-10-19,0.612,3.831
1999-10-20,0.671,4.025
1999-10-21,0.68,4.037
1999-10-22,0.66,3.931
1999-10-25,0.665,4.138
1999-10-26,0.67,4.063
1999-10-27,0.682,3.797
1999-10-28,0.695,3.55
1999-10-29,0.715,3.531
1999-11-01,0.693,3.456
1999-11-02,0.717,3.322
1999-11-03,0.728,3.291
1999-11-04,0.747,3.153
1999-11-05,0.789,3.247
1999-11-08,0.86,3.9
1999-11-09,0.8,3.541
1999-11-10,0.816,3.6
1999-11-11,0.824,3.65
1999-11-12,0.809,3.747
1999-11-15,0.799,3.675
1999-11-16,0.814,3.947
1999-11-17,0.806,3.825
1999-11-18,0.8,3.897
1999-11-19,0.825,3.897
1999-11-22,0.809,4.025
1999-11-23,0.829,4.088
1999-11-24,0.845,4.363
1999-11-26,0.849,4.656
1999-11-29,0.844,4.522
1999-11-30,0.874,4.253
1999-12-01,0.92,4.25
1999-12-02,0.984,4.453
1999-12-03,1.027,4.328
1999-12-06,1.036,4.388
1999-12-07,1.052,4.303
1999-12-08,0.983,4.428
1999-12-09,0.94,5.181
1999-12-10,0.92,5.334
1999-12-13,0.884,5.125
1999-12-14,0.847,4.781
1999-12-15,0.866,4.825
1999-12-16,0.878,4.744
1999-12-17,0.893,4.703
1999-12-20,0.875,4.85
1999-12-21,0.915,4.994
1999-12-22,0.892,4.884
1999-12-23,0.924,4.5
1999-12-27,0.887,4.056
1999-12-28,0.877,4.116
1999-12-29,0.899,4.175
1999-12-30,0.896,3.953
1999-12-31,0.918,3.806
2000-01-03,0.999,4.469
2000-01-04,0.915,4.097
2000-01-05,0.929,3.488
2000-01-06,0.848,3.278
2000-01-07,0.888,3.478
2000-01-10,0.873,3.459
2000-01-11,0.828,3.338
2000-01-12,0.778,3.178
2000-01-13,0.864,3.297
2000-01-14,0.897,3.213
2000-01-18,0.928,3.206
2000-01-19,0.951,3.341
2000-01-20,1.013,3.238
2000-01-21,0.994,3.103
2000-01-24,0.949,3.506
2000-01-25,1.002,3.463
2000-01-26,0.984,3.241
2000-01-27,0.982,3.347
2000-01-28,0.907,3.084
2000-01-31,0.926,3.228
2000-02-01,0.895,3.372
2000-02-02,0.882,3.472
2000-02-03,0.922,4.209
2000-02-04,0.964,3.928
2000-02-07,1.018,3.75
2000-02-08,1.026,4.156
2000-02-09,1.006,4.013
2000-02-10,1.013,3.809
2000-02-11,0.971,3.809
2000-02-14,1.034,3.722
2000-02-15,1.063,3.691
2000-02-16,1.019,3.534
2000-02-17,1.026,3.45
2000-02-18,0.993,3.238
2000-02-22,1.016,3.178
2000-02-23,1.038,3.522
2000-02-24,1.029,3.422
2000-02-25,0.985,3.456
2000-02-28,1.011,3.288
2000-02-29,1.023,3.444
2000-03-01,1.164,3.294
2000-03-02,1.089,3.128
2000-03-03,1.143,3.125
2000-03-06,1.122,3.197
2000-03-07,1.097,3.175
2000-03-08,1.089,3.181
2000-03-09,1.092,3.441
2000-03-10,1.123,3.344
2000-03-13,1.083,3.266
2000-03-14,1.02,3.281
2000-03-15,1.038,3.188
2000-03-16,1.085,3.313
2000-03-17,1.116,3.241
2000-03-20,1.098,3.209
2000-03-21,1.205,3.619
2000-03-22,1.287,3.534
2000-03-23,1.262,3.384
2000-03-24,1.238,3.634
2000-03-27,1.246,3.656
2000-03-28,1.242,3.506
2000-03-29,1.214,3.313
2000-03-30,1.123,3.325
2000-03-31,1.213,3.35
2000-04-03,1.19,3.178
2000-04-04,1.137,3.197
2000-04-05,1.164,3.109
2000-04-06,1.118,3.213
2000-04-07,1.176,3.378
2000-04-10,1.116,3.169
2000-04-11,1.066,3.169
2000-04-12,0.975,2.819
2000-04-13,1.016,2.4
2000-04-14,0.999,2.344
2000-04-17,1.106,2.353
2000-04-18,1.133,2.747
2000-04-19,1.081,2.672
2000-04-20,1.061,2.619
2000-04-24,1.076,2.491
2000-04-25,1.146,2.622
2000-04-26,1.083,2.675
2000-04-27,1.132,2.644
2000-04-28,1.108,2.759
2000-05-01,1.11,2.997
2000-05-02,1.052,2.806
2000-05-03,1.027,2.706
2000-05-04,0.988,2.753
2000-05-05,1.01,2.925
2000-05-08,0.983,2.801
2000-05-09,0.941,2.813
2000-05-10,0.887,2.666
2000-05-11,0.918,2.744
2000-05-12,0.961,2.688
2000-05-15,0.902,2.803
2000-05-16,0.944,2.953
2000-05-17,0.905,3.05
2000-05-18,0.9,2.769
2000-05-19,0.839,2.631
2000-05-22,0.803,2.594
2000-05-23,0.766,2.334
2000-05-24,0.783,2.428
2000-05-25,0.779,2.275
2000-05-26,0.771,2.325
2000-05-30,0.782,2.588
2000-05-31,0.75,2.416
2000-06-01,0.796,2.509
2000-06-02,0.826,2.894
2000-06-05,0.815,2.725
2000-06-06,0.829,2.528
2000-06-07,0.862,2.591
2000-06-08,0.847,2.594
2000-06-09,0.855,2.609
2000-06-12,0.814,2.422
2000-06-13,0.844,2.45
2000-06-14,0.807,2.322
2000-06-15,0.825,2.316
2000-06-16,0.814,2.3
2000-06-19,0.863,2.266
2000-06-20,0.904,2.306
2000-06-21,0.993,2.303
2000-06-22,0.96,2.1
2000-06-23,0.923,1.694
2000-06-26,0.967,1.697
